j,i,value
0,0,0.0
0,2,1.8853727112855267e-07
0,4,1.8699670079058706e-07
0,6,1.8741251039955387e-07
0,8,1.8686466773942811e-07
0,10,1.862917997641489e-07
0,12,1.8578052163320535e-07
0,14,1.8543634894285788e-07
0,16,1.8500922749353776e-07
0,18,1.8459073203302978e-07
0,20,1.841229675392242e-07
0,22,1.8370593579675187e-07
0,24,1.8327311579469097e-07
0,26,1.8273024693371553e-07
0,28,1.8187776618106e-07
0,30,1.817385708591246e-07
0,32,1.813599794786569e-07
0,34,1.8166423387810937e-07
0,36,1.817680299609492e-07
0,38,1.8180044492055458e-07
0,40,1.8173778926211526e-07
0,42,1.8165214044074673e-07
0,44,1.8172552529449604e-07
0,46,1.819735047092763e-07
0,48,1.82433780082647e-07
2,0,0.0
2,2,4.19030357079464e-07
2,4,3.520729308092996e-07
2,6,2.962828773434012e-07
2,8,1.872235202426964e-07
2,10,3.8225289245019667e-07
2,12,1.9107308446564275e-07
2,14,1.8591813955026737e-07
2,16,1.8586729311209638e-07
2,18,1.8555221004135092e-07
2,20,1.8505865284623724e-07
2,22,1.8463245510247361e-07
2,24,1.8392196921013237e-07
2,26,1.83029811751112e-07
2,28,1.820116324324772e-07
2,30,1.819781658696229e-07
2,32,1.8235867571547715e-07
2,34,1.829393312391403e-07
2,36,1.830505738098509e-07
2,38,1.8310630878204393e-07
2,40,1.830959064363924e-07
2,42,1.8293394532520324e-07
2,44,1.8274219826253102e-07
2,46,1.8272345414516167e-07
2,48,1.8315954264380707e-07
4,0,0.0
4,2,4.189928688447253e-07
4,4,4.2014195855699654e-07
4,6,4.183306714367063e-07
4,8,4.1716592136253894e-07
4,10,4.1576456055736344e-07
4,12,4.14510594737294e-07
4,14,3.5540892895369325e-07
4,16,1.8603346063628123e-07
4,18,1.859315403862638e-07
4,20,1.854564715131346e-07
4,22,1.8489637909624435e-07
4,24,1.8410608504382253e-07
4,26,1.8310097971152572e-07
4,28,1.8306484150798497e-07
4,30,1.8336299945076462e-07
4,32,1.8380603705736576e-07
4,34,1.8403927981580637e-07
4,36,1.8413992108889943e-07
4,38,1.8424027814489818e-07
4,40,1.8422051084598934e-07
4,42,1.8403811452571972e-07
4,44,1.8371099486103049e-07
4,46,1.8362176490427373e-07
4,48,2.1262246718833921e-07
6,0,0.0
6,2,4.16617638165917e-07
6,4,4.1736231537470303e-07
6,6,4.1905431658051384e-07
6,8,4.1730757516234007e-07
6,10,4.167311828950915e-07
6,12,4.153369275172736e-07
6,14,4.146086212131195e-07
6,16,3.8282627201624564e-07
6,18,1.8532873014009965e-07
6,20,1.8475100205250783e-07
6,22,1.8449921412866388e-07
6,24,1.8426811720928526e-07
6,26,1.8390116451882932e-07
6,28,1.8391828859876114e-07
6,30,1.8418798219954624e-07
6,32,1.8450089100952027e-07
6,34,1.8467380868969485e-07
6,36,1.846488828505244e-07
6,38,1.8458005968113866e-07
6,40,1.845691457447174e-07
6,42,1.8438824156419287e-07
6,44,1.8429234671657468e-07
6,46,1.8432879755891918e-07
6,48,2.6855130386138626e-07
8,0,0.0
8,2,0.0005282676429487765
8,4,0.001890793675556779
8,6,9.047313506016508e-05
8,8,0.0006361078703776002
8,10,4.166809333128185e-07
8,12,4.1639415826466575e-07
8,14,4.1398772054890287e-07
8,16,4.1293381514151406e-07
8,18,2.6659745344659314e-06
8,20,1.8468342943833704e-07
8,22,1.8460610817783163e-07
8,24,1.846202906108374e-07
8,26,1.8440231031036092e-07
8,28,1.8437749815802817e-07
8,30,1.8464061213308014e-07
8,32,1.8487095587715885e-07
8,34,1.84857924523385e-07
8,36,1.8484533370610734e-07
8,38,1.8474457874617656e-07
8,40,1.8465482298779534e-07
8,42,1.8467733298166422e-07
8,44,2.3145670979829447e-07
8,46,2.2152969449962256e-06
8,48,0.041444599628448486
10,0,0.0
10,2,4.1839976461233164e-07
10,4,4.185721991234459e-07
10,6,4.1719277987795067e-07
10,8,4.178429549028806e-07
10,10,0.0003413323138374835
10,12,4.160511366535502e-07
10,14,4.140402722896397e-07
10,16,4.1333856870551244e-07
10,18,2.3706468255113577e-06
10,20,4.7867297325865366e-06
10,22,3.1066449537320295e-06
10,24,3.102695700363256e-07
10,26,1.8462743867075915e-07
10,28,1.8458332817772316e-07
10,30,1.848724053843398e-07
10,32,1.8500820431199827e-07
10,34,1.8506678145513433e-07
